Model,Best Parameters,Best CV Accuracy
k-NN,{'n_neighbors': 1},0.675
SVM,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.9958333333333332
MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (2,)}",1.0
