Model,Train Accuracy,Test Accuracy,Test F1 Score
k-NN,0.963882618510158,0.9459459459459459,0.9459722880775514
SVM,0.9864559819413092,1.0,1.0
MLP,0.9661399548532731,0.972972972972973,0.9729861386920735
